cutscene_id,shot_index,shot_duration_sec,camera_type,focus_target,action_key,audio_key,subtitle_key,skip_group,gameplay_hook,note
cutscene_final_support_ensemble,1,3,group,npc_xubo,step_in_with_workers,audio_crowd_march,dialogue_main_0403_001,skip_support_ensemble,pause_final_prep,许伯带人到场
cutscene_final_support_ensemble,2,3,close,npc_hu_sihai,drop_supply_pack,audio_supply_drop,dialogue_main_0403_005,skip_support_ensemble,grant_supply_stock,胡四海交货
cutscene_final_support_ensemble,3,3,close,npc_atan,raise_outer_frame,audio_wood_build,dialogue_main_0403_006,skip_support_ensemble,expand_build_slots,阿檀搭外构
cutscene_final_support_ensemble,4,3,close,npc_shen_gudeng,draw_guard_line,audio_blade_guard,dialogue_main_0403_008,skip_support_ensemble,enable_guard_buff,沈孤灯护路
cutscene_final_support_ensemble,5,4,hero,player,player_acknowledge_team,audio_theme_resolve,dialogue_main_0403_009,skip_support_ensemble,unlock_final_departure,玩家收束
cutscene_final_banquet,1,5,wide,area_festival_ground,show_festival_lights,audio_banquet_open,subtitle_final_banquet_01,skip_banquet,freeze_shop_runtime,节庆夜景全景
cutscene_final_banquet,2,4,close,item_crop_wannian_pantao,glow_pantao,audio_pantao_glow,subtitle_final_banquet_02,skip_banquet,spawn_ending_particles,蟠桃近景
cutscene_final_banquet,3,5,group,core_npc_group,cycle_npc_reactions,audio_npc_theme_mix,subtitle_final_banquet_03,skip_banquet,queue_epilogue_flags,核心 NPC 轮切
cutscene_final_banquet,4,4,mid,player_and_spirits,celebrate_with_spirits,audio_spirit_cheer,subtitle_final_banquet_04,skip_banquet,unlock_second_year,玩家与精怪群像
cutscene_final_banquet,5,4,wide,area_river_and_spring,restore_waterflow,audio_water_return,subtitle_final_banquet_05,skip_banquet,set_world_state_normal,河道复苏
cutscene_final_banquet,6,3,ui,ui_ending_panel,show_ending_unlocks,audio_ui_unlock,subtitle_final_banquet_06,skip_banquet,open_ending_menu,结局面板
cutscene_spirit_luobo_evolve,1,3,wide,area_farm_mid,raise_field_shoots,audio_term_change,,skip_spirit_luobo_evolve,highlight_farm_growth,谷雨田垄起灵
cutscene_spirit_luobo_evolve,2,4,close,spirit_luobo_farm,gather_root_satchel,audio_spirit_birth,spirit_event_luobo_02,skip_spirit_luobo_evolve,show_partner_growth,萝卜药童拢土成形
cutscene_spirit_luobo_evolve,3,3,hero,spirit_luobo_farm,settle_earth_ring,audio_ui_unlock,,skip_spirit_luobo_evolve,unlock_spirit_line_luobo,田垄灵息稳落
cutscene_spirit_lajiao_evolve,1,3,mid,area_workshop,kindle_stove_ring,audio_term_change,,skip_spirit_lajiao_evolve,highlight_workshop_heat,灶火并圈升温
cutscene_spirit_lajiao_evolve,2,4,close,spirit_lajiao_workshop,flare_pan_smoke,audio_spirit_birth,spirit_event_lajiao_02,skip_spirit_lajiao_evolve,show_partner_growth,锅气翻起见灵
cutscene_spirit_lajiao_evolve,3,3,hero,spirit_lajiao_workshop,lift_fire_blessing,audio_ui_unlock,,skip_spirit_lajiao_evolve,unlock_spirit_line_lajiao,火纹落到工坊
cutscene_spirit_suan_evolve,1,3,mid,area_training_slope,step_wind_slope,audio_term_change,,skip_spirit_suan_evolve,highlight_guard_route,护坡试步定势
cutscene_spirit_suan_evolve,2,4,close,spirit_suan_guard,draw_guard_arc,audio_spirit_birth,spirit_event_suan_02,skip_spirit_suan_evolve,show_partner_growth,蒜锋出鞘成弧
cutscene_spirit_suan_evolve,3,3,hero,spirit_suan_guard,raise_patrol_blade,audio_ui_unlock,,skip_spirit_suan_evolve,unlock_spirit_line_suan,夜巡锋势定型
cutscene_spirit_shui_evolve,1,3,wide,area_old_canal,float_canal_lantern,audio_water_rise,,skip_spirit_shui_evolve,highlight_canal_recovery,白露旧渠先亮
cutscene_spirit_shui_evolve,2,4,close,spirit_shui_canal,guide_channel_rise,audio_spirit_birth,spirit_event_shui_02,skip_spirit_shui_evolve,show_partner_growth,引泉河伯抬水成势
cutscene_spirit_shui_evolve,3,3,hero,spirit_shui_canal,open_wide_gate,audio_ui_unlock,,skip_spirit_shui_evolve,unlock_spirit_line_shui,大渠开口复明
cutscene_spirit_yunshu_evolve,1,3,wide,area_storage_yard,stack_cloud_crates,audio_coin_soft,,skip_spirit_yunshu_evolve,highlight_storage_flow,云箱齐列成道
cutscene_spirit_yunshu_evolve,2,4,close,spirit_yunshu_storage,spin_route_tally,audio_spirit_birth,spirit_event_yunshu_02,skip_spirit_yunshu_evolve,show_partner_growth,小力士翻签定路
cutscene_spirit_yunshu_evolve,3,3,hero,spirit_yunshu_storage,shoulder_grain_banner,audio_ui_unlock,,skip_spirit_yunshu_evolve,unlock_spirit_line_yunshu,整列扛旗入仓
cutscene_spirit_bucao_evolve,1,3,wide,area_festival_ground,cast_silk_ribbons,audio_term_change,,skip_spirit_bucao_evolve,highlight_festival_stage,节庆丝带先起
cutscene_spirit_bucao_evolve,2,4,close,spirit_bucao_festival,weave_festival_brocade,audio_spirit_birth,spirit_event_bucao_02,skip_spirit_bucao_evolve,show_partner_growth,织女蛛引霞成锦
cutscene_spirit_bucao_evolve,3,3,hero,spirit_bucao_festival,raise_lantern_canopy,audio_spirit_cheer,,skip_spirit_bucao_evolve,unlock_spirit_line_bucao,灯棚与锦幕同升
