trial_id,trial_name_key,term_id,unlock_condition_group,prep_days,challenge_days,recommended_spirit_lines,required_loop_tags,score_formula,reward_pool_id,rank_reward_tags,note
trial_xiaoshu_refresh,trial_name_xiaoshu_refresh,term_xiaoshu,quest_main_0403_complete,1,3,spirit_line_shui|spirit_line_yuelian|spirit_line_bucao,water_crop|cold_drink|water_spirit_up,quality_score*0.3+customer_score*0.35+display_score*0.35,pool_reward_trial_bailu,decor|bond_exp|refresh_drink,xiaoshu refresh trial
trial_dashu_fire,trial_name_dashu_fire,term_dashu,quest_main_0403_complete,1,3,spirit_line_lajiao|spirit_line_shui|spirit_line_caikuang,fire|workshop|risk_control,order_score*0.35+risk_score*0.35+output_score*0.3,pool_reward_trial_dashu,decor|bond_exp|fire_material,dashu fire trial
trial_liqiu_firstgrain,trial_name_liqiu_firstgrain,term_liqiu,quest_main_0403_complete,1,3,spirit_line_luobo|spirit_line_hualing|spirit_line_shuqi,autumn_grain|grain_goods|shop_spirit_small,quality_score*0.35+shop_score*0.3+order_score*0.35,pool_reward_trial_bailu,decor|bond_exp|grain_banner,liqiu first grain trial
trial_chushu_storage,trial_name_chushu_storage,term_chushu,quest_main_0403_complete,1,3,spirit_line_bucao|spirit_line_shuqi|spirit_line_dengying,earth_crop|storage_goods|utility_spirit_small,output_score*0.4+display_score*0.25+risk_score*0.35,pool_reward_trial_dashu,decor|bond_exp|storage_route,chushu storage trial
trial_bailu_gift,trial_name_bailu_gift,term_bailu,quest_main_0403_complete,1,3,spirit_line_jieqi|spirit_line_bucao|spirit_line_hualing,gift|dew|shop,shop_score*0.45+display_score*0.35+quality_score*0.2,pool_reward_trial_bailu,decor|bond_exp|gift_recipe,bailu gift trial
trial_qiufen_medicine,trial_name_qiufen_medicine,term_qiufen,quest_main_0403_complete,1,3,spirit_line_yaoyuan|spirit_line_shui|spirit_line_luobo,medicine_crop|medicine_goods|farm_spirit_small,quality_score*0.4+mark_score*0.25+spirit_score*0.35,pool_reward_trial_guyu,decor|bond_exp|medicine_archive,qiufen medicine trial
trial_hanlu_warmgoods,trial_name_hanlu_warmgoods,term_hanlu,quest_main_0403_complete,1,3,spirit_line_meishi|spirit_line_lajiao|spirit_line_dengying,cold_sensitive|warming_goods|combat_spirit_small,customer_score*0.35+festival_score*0.25+patrol_score*0.4,pool_reward_trial_dongzhi,decor|bond_exp|warming_goods,hanlu warmgoods trial
trial_shuangjiang_frost,trial_name_shuangjiang_frost,term_shuangjiang,quest_main_0403_complete,1,3,spirit_line_lajiao|spirit_line_suan|spirit_line_shui,frost_sensitive|warming_goods|fire_goods,risk_score*0.35+survival_score*0.35+output_score*0.3,pool_reward_trial_dashu,decor|bond_exp|frost_guard,shuangjiang frost trial
trial_lidong_storehouse,trial_name_lidong_storehouse,term_lidong,quest_main_0403_complete,1,3,spirit_line_bucao|spirit_line_shuqi|spirit_line_yuelian,winter_crop|storage_goods|utility_spirit_small,output_score*0.35+display_score*0.3+mark_score*0.35,pool_reward_trial_dahan,decor|bond_exp|winter_store,lidong storehouse trial
trial_xiaoxue_icegoods,trial_name_xiaoxue_icegoods,term_xiaoxue,quest_main_0403_complete,1,3,spirit_line_shui|spirit_line_meishi|spirit_line_yuelian,cold_crop|ice_goods|water_spirit_small,quality_score*0.3+customer_score*0.35+festival_score*0.35,pool_reward_trial_dongzhi,decor|bond_exp|icegoods_banner,xiaoxue icegoods trial
trial_daxue_snowkitchen,trial_name_daxue_snowkitchen,term_daxue,quest_main_0403_complete,1,3,spirit_line_meishi|spirit_line_lajiao|spirit_line_bucao,cold_crop|warming_goods|farm_spirit_small,festival_score*0.35+output_score*0.3+customer_score*0.35,pool_reward_trial_dongzhi,decor|bond_exp|snow_feast,daxue snow kitchen trial
trial_dongzhi_lantern,trial_name_dongzhi_lantern,term_dongzhi,quest_main_0403_complete,1,3,spirit_line_meishi|spirit_line_bucao|spirit_line_dengying,festival|food|night_shop,festival_score*0.4+customer_score*0.35+patrol_score*0.25,pool_reward_trial_dongzhi,decor|bond_exp|festival_recipe,dongzhi lantern trial
trial_xiaohan_craft,trial_name_xiaohan_craft,term_xiaohan,quest_main_0403_complete,1,3,spirit_line_caikuang|spirit_line_lajiao|spirit_line_shuqi,process_goods|medicine_goods|workshop_spirit_small,output_score*0.4+quality_score*0.3+risk_score*0.3,pool_reward_trial_dahan,decor|bond_exp|winter_craft,xiaohan craft trial
trial_dahan_guard,trial_name_dahan_guard,term_dahan,quest_main_0403_complete,1,3,spirit_line_yaoyuan|spirit_line_suan|spirit_line_yuelian,extreme|medicine|patrol,survival_score*0.4+relief_score*0.35+spirit_score*0.25,pool_reward_trial_dahan,decor|bond_exp|guard_title,dahan guard trial
